uid,postnum,keywordsnum,ratio,followerscount,name
2091319771,733,43,0.0586630286494,96506,上海生鼎实业实业有限公司
1151173084,404,58,0.143564356436,91943,沉沦者_孤涛
1953038814,1097,248,0.226071103008,174690,麻辣心理测试
2520482272,230,8,0.0347826086957,85882,时装博览
2011857382,399,51,0.127819548872,142456,企业管理公司---苏斯婴幼儿教育
1820328423,1018,8,0.00785854616896,58123,hi-leeyo
2158232040,1000,3,0.003,274394,electron商务
2684884391,53,6,0.11320754717,51703,潮妈帮
2644673007,234,184,0.786324786325,150417,日照公安东港分局
1671070193,1000,19,0.019,51153,火星-Juliet
1870365175,636,127,0.199685534591,80631,动力商城微博
2643100160,395,31,0.0784810126582,55356,第二号码
1704165892,358,36,0.100558659218,116985,水言V
1775632907,1099,51,0.0464058234759,62669,向日葵小小班杂货铺
2695528980,1087,273,0.251149954002,111172,月都论坛
2293976607,380,16,0.0421052631579,69940,罂粟的诅咒
2613291780,17,3,0.176470588235,155112,海螺沟旅游微博
2497053212,10,1,0.1,136197,绿华茶业
2633433630,1,0,0.0,53504,恋上星座丶
2161148454,1097,76,0.0692798541477,65048,4NIC-苏州
1704067627,774,156,0.201550387597,231799,三亚梁涛
2051375664,721,101,0.140083217753,53452,诗人南枫
2348515890,210,33,0.157142857143,65533,手机先生通讯
2649363891,1097,2633,2.40018231541,218594,朗正投资
2451767860,1000,80,0.08,115447,闺蜜日志
1911783992,1000,91,0.091,306373,教育培训管理
2282390074,421,253,0.600950118765,67635,亚美沙发里
2119369281,970,45,0.0463917525773,91230,晓雷7898
1870660163,1121,62,0.0553077609277,53625,May_然然
2259583557,446,27,0.0605381165919,53359,tt小龍tt
2259468385,535,33,0.0616822429907,57109,夆sir
2474082907,1000,197,0.197,141411,美容养生速递
2583659100,97,0,0.0,108973,宝宝蓝拍拍旗舰店
2529067614,5,0,0.0,111990,潮流那些破事儿
2603647591,170,17,0.1,77350,时尚潮流推荐
1776681577,667,21,0.0314842578711,54075,无水的小鱼儿儿
2599551597,481,45,0.0935550935551,50483,爱比科技
1914012273,1099,511,0.464968152866,104807,北京生生医院
2041447027,878,336,0.382687927107,56682,创梦网络CEO陈永军
2678096502,1097,157,0.143117593437,93900,暖暖的时光小站
1635975804,875,150,0.171428571429,100259,史上最最蛋疼
2147713670,336,17,0.0505952380952,104383,廣州模特平臺
1904149127,1098,101,0.091985428051,51930,福建世纪丰田
1898840713,1000,7,0.007,52837,刘达州
2046551067,166,8,0.0481927710843,51893,宜昌德龙丰田
1015120525,1097,127,0.115770282589,55850,周海能icbc
1339720342,885,26,0.0293785310734,63238,摄影师许清宇
1749975705,1000,77,0.077,1044420,唯美式情感语录
2239791773,1000,778,0.778,102961,先行品牌策略机构
1066730142,586,149,0.254266211604,54003,三枫-王之韦
1812562591,1099,49,0.0445859872611,64005,章鱼小美妞
2605286053,492,136,0.276422764228,58430,十二生肖的秘籍
2611610281,838,7,0.00835322195704,108642,高端婚礼策划师Li
1177322154,245,22,0.0897959183673,50338,老子曾經日過
2276098734,250,125,0.5,82211,凤凰茶道
2681766583,1097,42,0.0382862351869,201110,我们的蜡笔仔
1649574585,1097,242,0.220601640839,51044,中小企业品牌圣经
1927801631,1072,613,0.571828358209,75532,地产-金鹤
2549514941,102,19,0.186274509804,60958,儒视传媒
1979974352,51,7,0.137254901961,327743,科學佛法
2338161365,479,37,0.0772442588727,56215,雪莲女人
1871610582,1099,222,0.202001819836,87606,本草婴缘
1852310240,1097,65,0.0592525068368,67231,海角一号团购网
2189836411,1108,156,0.140794223827,63404,海尔石家庄
2038924012,1000,241,0.241,122067,安娜凯西
1980007152,1000,95,0.095,58907,精彩搞笑
2482209523,233,9,0.0386266094421,51603,挑战名人墙
1744732923,15,0,0.0,225399,精彩电影v
2252473084,1099,58,0.0527752502275,102698,卖萌前线
1935475455,225,2,0.00888888888889,58527,蓝枚莜梦24
2046787713,1089,78,0.0716253443526,135143,打劫商城
2488304392,111,7,0.0630630630631,105539,GLO-case_公爵
1740117463,1093,88,0.0805123513266,100886,玩客德州CEO
1658422030,1099,97,0.0882620564149,69536,Orange賈
1878393620,143,2,0.013986013986,52666,BUnny_珺
1964376864,1098,32,0.0291438979964,64580,舞儿亲亲
1738474285,647,38,0.0587326120556,68276,李钊LzLee
2068185903,509,26,0.0510805500982,173826,太原欣雅瑜伽
1865614133,197,7,0.0355329949239,56966,李小冉-Michelle
1834419000,11,1,0.0909090909091,94111,台湾龙摄影集团
1635975993,823,113,0.13730255164,101636,时尚围脖达人
1850213180,1000,125,0.125,104032,李医生DoctorLI
2482242392,149,4,0.0268456375839,100513,释寂真
2600895322,812,65,0.0800492610837,209113,芊芊婚纱摄影
1901921117,1096,190,0.173357664234,52958,盈子张瑞霞
2013299552,397,6,0.0151133501259,100416,VANE薇娜
2014446434,1000,51,0.051,1081884,女人时尚丶美丽健康
2267392827,943,37,0.0392364793213,116587,营口吃穿住行
2338194277,680,26,0.0382352941176,187097,VandaCafe
1695581040,1098,225,0.204918032787,142803,福建电影制片人
2638381941,199,6,0.0301507537688,157803,大姑娘美老娘们浪
1919419264,1099,200,0.181983621474,242285,最时尚-男人装
2243849024,623,627,1.00642054575,583692,IT杂志网
2622587782,742,385,0.518867924528,100491,蓝驰海员俱乐部
2108862265,690,180,0.260869565217,103060,云南外国语学校
1817084821,434,36,0.0829493087558,62397,魅丽悄佳人
1257374620,1096,77,0.0702554744526,55256,刘海洋Sea
2193992517,1098,116,0.105646630237,69000,哈林-秀王篮球训练营
2261255075,1098,206,0.187613843352,113052,德立黄志强
1663675207,1000,394,0.394,53230,华图教育重庆分公司
2467431342,145,87,0.6,107930,青创企业
1437997081,71,14,0.197183098592,90186,knleader
2346249033,2,0,0.0,71460,mr陳達垠
2557936570,244,78,0.319672131148,955773,电影热
2623963295,1097,339,0.30902461258,143893,旅途驴友
2484896700,17,2,0.117647058824,60506,吴吴吴吴吴吴主任
1904378813,1000,271,0.271,101868,荟萃楼
1120928703,297,316,1.06397306397,51776,朱永民_NIO
2557543362,12,1,0.0833333333333,149556,环保小博士
2684070731,34,5,0.147058823529,105233,因美白而更美丽的美白针
2143323081,1003,109,0.108673978066,94949,全球潮货排行榜
2636387423,437,28,0.0640732265446,54884,韩都衣舍T-ara粉丝团
2189558733,1095,50,0.0456621004566,315860,最原则
2654471122,746,30,0.0402144772118,54543,时尚潮流er
2468512724,6,0,0.0,51351,琪瑞的世界
2460681174,1099,286,0.260236578708,213088,重庆方言-笑一笑
2286388185,288,92,0.319444444444,115319,Tracycui_01
2623243233,360,29,0.0805555555556,132960,孙悟空-LSY
1635976165,841,166,0.197384066587,101969,生活时尚大杂烩
1612645354,290,23,0.0793103448276,154829,重庆森冠
1728807917,1099,225,0.204731574158,211830,东方花园论坛
1775596001,463,5,0.0107991360691,134810,文胸精品推荐
2452030454,425,111,0.261176470588,51782,习小创
1899135993,1054,131,0.124288425047,60926,熟女攻略
2097054714,1000,151,0.151,88354,苏州苗芳青颜
2521891840,182,7,0.0384615384615,67556,金雅典广告摄影
1889502210,1000,231,0.231,669845,感悟系经典语录
1086063621,8,2,0.25,54200,Mint_Ni
2483651594,759,369,0.486166007905,84295,阿妍368
1697219595,823,77,0.093560145808,396030,精彩电影赏析
2050130960,889,23,0.0258717660292,85371,李叶飞MIB
2014446610,980,30,0.030612244898,142604,时尚资讯风向标
2617476123,226,59,0.261061946903,82413,中联重科混凝土机械公司互动专区
1686275103,873,26,0.0297823596793,60799,L16王滢淇
1803322401,634,190,0.299684542587,58490,易用汇-杨骏慷
2020017193,1088,267,0.245404411765,113880,伦杰杨
2662663211,122,39,0.319672131148,240825,汽车完全杂志
2245362733,500,12,0.024,75133,小先森丶李天佑
2212824133,631,400,0.633914421553,575665,体育全球
1899430982,1000,144,0.144,102089,潮男潮女星座
2490860624,619,173,0.279483037157,70364,华家堡成都
2076083281,100,8,0.08,94231,最韩潮
1592109923,320,7,0.021875,102412,陈卓是二号黑肉
2487583840,1205,182,0.151037344398,150001,创新时代网
1609892962,1099,174,0.158325750682,106478,iShare_平凡谷
2044200041,421,53,0.125890736342,79863,Dao-Meng
1697219691,1099,67,0.0609645131938,381745,围脖热门汇
2479734973,1055,136,0.128909952607,60850,双子座--宝典
2681701491,1000,207,0.207,197063,摩羯座蜜言
1355613301,390,2,0.00512820512821,201085,原原哥哥
1697219703,1099,50,0.0454959053685,533083,全球热爆
2084537470,1102,214,0.194192377495,389772,美妆服饰搭配
1697219730,799,145,0.181476846058,403977,全球热点排行精选
1800995990,192,44,0.229166666667,272197,忍者柯南
2658075801,26,13,0.5,349472,澳洲第一团购
1308552047,61,6,0.0983606557377,113525,时尚魅力馆
2315945123,1000,105,0.105,101992,凯达琳
1804338344,666,76,0.114114114114,50013,美丽必修课
2132673705,979,460,0.46986721144,100125,北京-全攻略
1751876782,532,88,0.165413533835,131600,语录精彩
2694710453,1078,53,0.0491651205937,116758,张小娴谈爱情520
2279703741,367,22,0.0599455040872,53354,陈普顺鑫
1847756804,986,159,0.161257606491,105764,集优全民创业服务
2186544324,106,3,0.0283018867925,52109,赵逸yomi
1959199941,124,11,0.0887096774194,187414,Android安卓频道
2451899594,116,31,0.26724137931,103029,高清电影速递
1956349132,1099,145,0.131938125569,113509,颠覆式学园
1939456205,539,61,0.113172541744,82650,i郑鹏程
87983312,140,20,0.142857142857,155814,星座物语秘密
1697219794,1099,55,0.0500454959054,383627,全球精选热门
1586332892,938,30,0.0319829424307,156495,美妞izzie
1900053725,1095,166,0.151598173516,111007,阳光的美食美味
2641790174,270,37,0.137037037037,211016,流行时尚阵地
1919124714,1000,245,0.245,83135,时尚健康专家
2664125991,1086,1323,1.2182320442,363107,华兆中圣
2609186033,884,119,0.134615384615,123163,创意美食铺
2233173234,1095,214,0.195433789954,60371,尊然食品专营店
2108720380,495,71,0.143434343434,175713,APP集散中心
1776289025,532,56,0.105263157895,122731,哦文文哦
1832355074,75,5,0.0666666666667,64960,李云依baby
2472805647,1067,180,0.168697282099,111751,兰奇健康人生
1554983811,104,2,0.0192307692308,56100,杨艺枫
2093942037,1000,47,0.047,59367,_開伈僦好
2632385814,15,3,0.2,68196,七匹狼箱包旗舰店
1943311634,212,23,0.108490566038,51771,E家风尚家居
1960071190,957,22,0.0229885057471,61584,丶親愛的夏天琦同學
2460910884,70,1,0.0142857142857,102808,睡不醒的妖刀姑娘
1370129702,1098,275,0.250455373406,140101,世纪票网
1736770860,1076,94,0.0873605947955,88514,划过心灵的句子
1887667501,1000,627,0.627,61789,3158招商加盟网官方微博
2355823925,1000,203,0.203,142118,小伙伴小笨熊
2464974140,262,15,0.0572519083969,50427,Tyloo_豆豆
2493309651,465,407,0.875268817204,96499,报刊杂志互粉
2627667265,2,0,0.0,68218,涿州新艺婚纱摄影
1873315142,353,23,0.0651558073654,75920,陈寒松
2315519304,1099,110,0.100090991811,108401,TCHIQ琪凯内衣
2625078605,92,99,1.07608695652,142358,天通银-
2494235982,1092,60,0.0549450549451,136230,如花灿烂ghy
1490922381,332,70,0.210843373494,83349,摩羯-单羽
2511013204,700,99,0.141428571429,130622,食品与特产美食
1869972821,357,90,0.252100840336,99292,Saferoser
2688386393,1075,127,0.118139534884,154577,日韩流行控
1890846042,1097,260,0.237010027347,375647,唯美爱情小说
1915487583,1004,193,0.192231075697,79731,王冠666
2151810414,507,269,0.53057199211,62412,百大英才网
2633958771,1095,172,0.157077625571,88454,呼伦贝尔草原周政
2508916084,1000,97,0.097,82156,东风风神DFPV-A60
2660533625,418,39,0.0933014354067,84703,吸血鬼日记社
1870660991,1022,175,0.171232876712,72016,许华峰
2673018243,191,46,0.240837696335,65392,都美陶瓷
1931969924,400,69,0.1725,68756,河南招商
1500120454,1112,71,0.0638489208633,58495,卖肾观看卜多野结衣
2644772232,636,24,0.0377358490566,97257,小清新推荐
1430160777,1090,134,0.122935779817,101031,圈圈-vv
2002879883,1099,70,0.0636942675159,103017,袁小柒
1950811534,845,19,0.0224852071006,174594,分享内涵图
1938556303,1096,62,0.0565693430657,74748,吉林资讯广播小雪
1916896657,1098,143,0.130236794171,207362,十衣素-
2099611030,104,8,0.0769230769231,50030,夜蒲in深圳
2611676573,590,2,0.00338983050847,105082,高端婚礼机构
2618394015,82,0,0.0,72436,北京风行炫彩文化传播有限公司
2121958817,1000,24,0.024,57296,陪你数羊羊
1928234404,118,2,0.0169491525424,80632,吉斯店
2364769704,69,19,0.275362318841,104740,潘天_pt
2695234993,298,5,0.0167785234899,91206,青岛啤酒啦啦队-江苏
1883538872,418,139,0.332535885167,56289,每日宁波
2355725755,679,113,0.166421207658,61769,青岛微揭秘
1661896130,896,17,0.0189732142857,243851,时尚潮人流行风
2097103095,48,24,0.5,90282,论文工场
2655913420,184,156,0.847826086957,70053,制药砖家
2482341325,1098,1120,1.02003642987,61904,山西IT门户
2148074962,1000,39,0.039,77330,御临门温泉度假村
1899824595,1000,142,0.142,228404,生活心情心语语录
1280214494,433,5,0.0115473441109,107933,董洁880724
2049902052,215,38,0.176744186047,61640,玻璃球的天堂
1722746352,508,37,0.0728346456693,55646,小测先生
1731134962,76,11,0.144736842105,80737,言琼琼
1547601395,1096,242,0.220802919708,189086,炫酷名车
2319091190,28,0,0.0,53170,cisie官方微薄
1899922943,1098,611,0.556466302368,152893,可可黄金-白银TD-纸白银-天通银
2674591233,139,23,0.165467625899,150472,爱知客izhike
1751123465,1098,42,0.0382513661202,283590,泰国佛牌佬
1752860170,1007,64,0.0635551142006,147255,钟小C丶
1990329871,1096,94,0.0857664233577,52770,陈少兵同学
2038171152,6,0,0.0,67391,Big_girl搭配女皇
1258980882,1093,78,0.0713632204941,55700,李伊藤
2675017235,523,216,0.413001912046,100892,通信新世界
1935181334,230,31,0.134782608696,160945,青晨子
1658488345,1088,148,0.136029411765,100728,小妖紫安
2212512005,91,0,0.0,115456,___MoOMOo牛____
2345698853,1098,115,0.104735883424,80618,宇文偊
1434650152,157,23,0.146496815287,102021,柯小米米
1798407722,1000,373,0.373,251258,昆明苹果园
2205713964,304,15,0.0493421052632,119274,窝窝购网
2461767261,237,4,0.0168776371308,65881,姜ooo倩蓉
1977255474,37,9,0.243243243243,87525,畅谈荧幕
2655749700,1000,185,0.185,100216,屌丝Sona
1571938775,1099,500,0.454959053685,97838,上海阿波罗男子医院
2084505162,1103,209,0.189483227561,389622,瘦身美容天地
2321483340,594,273,0.459595959596,346480,大学生集聚地
1939015245,130,5,0.0384615384615,52108,李陆琪
1912440403,1099,55,0.0500454959054,52587,杭州蔚蓝海岸摄影
1898448470,1094,193,0.176416819013,357473,生活常识汇
1635976793,869,115,0.132336018412,100567,时尚潮流大本营
1977161317,11,2,0.181818181818,112805,小锋xxx
2554922595,1096,505,0.460766423358,110046,Sky田宁
2350232037,1011,69,0.0682492581602,192325,潮女潮男风向标
1908573805,169,31,0.183431952663,67197,_罗靠谱
2645984880,470,25,0.0531914893617,74497,阿狸丶爱情世界
2498365041,1090,257,0.235779816514,130625,淡雅伊人-晓爱
2339735157,382,37,0.0968586387435,222896,石家庄团购资讯排行榜
1769674345,544,507,0.931985294118,63657,美亚柏科
1596098170,1099,111,0.101000909918,243888,方靜T埖閞
2501969534,28,1,0.0357142857143,124354,中国昆山A88
1732216452,121,28,0.231404958678,66804,365唯美语录
2628519557,187,4,0.0213903743316,94784,北京美食生活
2259125894,26,6,0.230769230769,60239,锐狐Ruifox
1991935625,1099,165,0.150136487716,620463,瘦身美容减肥
2319681162,1099,206,0.187443130118,374999,汽车杂谈
